0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:12:10 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:12:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:12:11 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:12:11 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:12:46 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:12:46 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:12:49 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:12:49 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:12:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:12:51 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:13:12 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:13:12 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:13:30 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:13:30 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:13:39 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:19:06 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:19:06 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:19:53 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:19:53 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:21:03 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:21:03 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:21:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:22:23 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:22:23 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:22:37 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:22:37 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:26:14 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 200 1145
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:26:14 +0900] "GET /studyhtml5/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2022:15:26:27 +0900] "GET /studyhtml5/docs/first.html HTTP/1.1" 200 1146
